FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20251227,12:47:47,adder_n4,1,4,25,10,35,199.96,33.9,0.0057,0.0732,0.1209
cirq,20251227,12:47:47,adder_n4,2,4,25,10,35,200.5,47.6,0.0038,0.0506,0.0851
cirq,20251227,12:47:47,adder_n4,3,4,25,10,35,200.07,47.1,0.0037,0.0517,0.0882
cirq,20251227,12:47:47,adder_n4,4,4,25,10,35,200.52,36.6,0.008,0.0741,0.1103
cirq,20251227,12:47:47,adder_n4,5,4,25,10,35,200.21,43.7,0.0059,0.0614,0.0936
cirq,20251227,12:47:47,adder_n4,6,4,25,10,35,200.83,41.8,0.0078,0.0467,0.0968
cirq,20251227,12:47:47,adder_n4,7,4,25,10,35,200.45,30.7,0.0016,0.0856,0.1314
cirq,20251227,12:47:47,adder_n4,8,4,25,10,35,200.09,33.1,0.0058,0.0787,0.1241
cirq,20251227,12:47:47,adder_n4,9,4,25,10,35,200.38,38.7,0.0049,0.0488,0.0809
cirq,20251227,12:47:47,adder_n4,10,4,25,10,35,200.58,41.9,0.0059,0.065,0.0987
