FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260219,15:27:15,adder_n4,1,4,25,10,0,35,199.14,24.3,0.0058,0.0353,0.0411
cirq,20260219,15:27:15,adder_n4,2,4,25,10,0,35,198.74,24.2,0.0016,0.0397,0.0413
cirq,20260219,15:27:15,adder_n4,3,4,25,10,0,35,199.1,33.8,0.0017,0.0574,0.0591
cirq,20260219,15:27:15,adder_n4,4,4,25,10,0,35,199.22,27.4,0.0054,0.031,0.0364
cirq,20260219,15:27:15,adder_n4,5,4,25,10,0,35,198.56,57.6,0.0038,0.0308,0.0346
cirq,20260219,15:27:15,adder_n4,6,4,25,10,0,35,198.68,15.5,0.0109,0.0533,0.0643
cirq,20260219,15:27:15,adder_n4,7,4,25,10,0,35,199.42,46.7,0.0059,0.0369,0.0428
cirq,20260219,15:27:15,adder_n4,8,4,25,10,0,35,198.73,23.5,0.0038,0.0387,0.0425
cirq,20260219,15:27:15,adder_n4,9,4,25,10,0,35,198.35,25.5,0.0059,0.0334,0.0392
cirq,20260219,15:27:15,adder_n4,10,4,25,10,0,35,199.22,29.7,0.0038,0.0298,0.0336
