FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20251227,16:32:46,bell_n4,1,4,26,7,33,200.72,50.1,0.0038,0.0607,0.1096
cirq,20251227,16:32:46,bell_n4,2,4,26,7,33,200.58,48.2,0.0038,0.0682,0.1115
cirq,20251227,16:32:46,bell_n4,3,4,26,7,33,200.48,47.2,0.0017,0.0728,0.1116
cirq,20251227,16:32:46,bell_n4,4,4,26,7,33,200.39,51.5,0.0037,0.0612,0.1053
cirq,20251227,16:32:46,bell_n4,5,4,26,7,33,201.02,48.6,0.0038,0.0653,0.1095
cirq,20251227,16:32:46,bell_n4,6,4,26,7,33,200.71,63.6,0.0016,0.0634,0.101
cirq,20251227,16:32:46,bell_n4,7,4,26,7,33,200.62,104.8,0.0017,0.0305,0.0514
cirq,20251227,16:32:46,bell_n4,8,4,26,7,33,200.93,84.7,0.0017,0.0304,0.0509
cirq,20251227,16:32:46,bell_n4,9,4,26,7,33,200.7,49.9,0.0046,0.0631,0.1088
cirq,20251227,16:32:46,bell_n4,10,4,26,7,33,200.22,40.3,0.0037,0.0637,0.1071
