FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260205,12:01:41,bell_n4,1,4,26,7,0,33,199.62,45.4,0.0028,0.0752,0.078
cirq,20260205,12:01:41,bell_n4,2,4,26,7,0,33,199.86,39.7,0.0058,0.0653,0.0711
cirq,20260205,12:01:41,bell_n4,3,4,26,7,0,33,199.59,48.1,0.0038,0.0678,0.0716
cirq,20260205,12:01:41,bell_n4,4,4,26,7,0,33,199.83,46.0,0.0059,0.068,0.0739
cirq,20260205,12:01:41,bell_n4,5,4,26,7,0,33,199.94,60.7,0.0037,0.0625,0.0662
cirq,20260205,12:01:41,bell_n4,6,4,26,7,0,33,200.02,45.1,0.0017,0.0764,0.0781
cirq,20260205,12:01:41,bell_n4,7,4,26,7,0,33,200.7,48.7,0.0039,0.0643,0.0682
cirq,20260205,12:01:41,bell_n4,8,4,26,7,0,33,199.92,42.5,0.0037,0.0835,0.0872
cirq,20260205,12:01:41,bell_n4,9,4,26,7,0,33,199.28,65.3,0.0038,0.0558,0.0596
cirq,20260205,12:01:41,bell_n4,10,4,26,7,0,33,200.46,51.7,0.0038,0.0692,0.073
