FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260114,09:18:27,bigadder_n18,1,18,16,34,50,200.95,44.9,0.0045,0.1069,0.1114
cirq,20260114,09:18:27,bigadder_n18,2,18,16,34,50,200.94,48.6,0.0065,0.0963,0.1029
cirq,20260114,09:18:27,bigadder_n18,3,18,16,34,50,201.51,34.5,0.0107,0.1052,0.1159
cirq,20260114,09:18:27,bigadder_n18,4,18,16,34,50,201.09,33.4,0.0064,0.1433,0.1497
cirq,20260114,09:18:27,bigadder_n18,5,18,16,34,50,201.12,51.4,0.0046,0.0925,0.0971
cirq,20260114,09:18:27,bigadder_n18,6,18,16,34,50,200.93,39.8,0.0057,0.0948,0.1005
cirq,20260114,09:18:27,bigadder_n18,7,18,16,34,50,200.69,46.0,0.0088,0.0998,0.1086
cirq,20260114,09:18:27,bigadder_n18,8,18,16,34,50,201.21,41.7,0.0065,0.1375,0.144
cirq,20260114,09:18:27,bigadder_n18,9,18,16,34,50,201.2,34.2,0.0108,0.106,0.1168
cirq,20260114,09:18:27,bigadder_n18,10,18,16,34,50,201.12,34.2,0.0098,0.1657,0.1755
