FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260206,09:28:45,bigadder_n18,1,18,16,34,16,66,200.86,52.2,0.0045,0.1105,0.1149
cirq,20260206,09:28:45,bigadder_n18,2,18,16,34,16,66,201.3,29.8,0.0085,0.1255,0.1341
cirq,20260206,09:28:45,bigadder_n18,3,18,16,34,16,66,201.27,46.1,0.0067,0.1235,0.1302
cirq,20260206,09:28:45,bigadder_n18,4,18,16,34,16,66,200.88,40.5,0.0114,0.0872,0.0986
cirq,20260206,09:28:45,bigadder_n18,5,18,16,34,16,66,201.67,35.7,0.0024,0.1376,0.14
cirq,20260206,09:28:45,bigadder_n18,6,18,16,34,16,66,201.6,42.0,0.0086,0.1104,0.119
cirq,20260206,09:28:45,bigadder_n18,7,18,16,34,16,66,201.17,38.3,0.0066,0.0977,0.1043
cirq,20260206,09:28:45,bigadder_n18,8,18,16,34,16,66,201.54,40.9,0.0083,0.114,0.1223
cirq,20260206,09:28:45,bigadder_n18,9,18,16,34,16,66,201.35,37.3,0.0065,0.1273,0.1338
cirq,20260206,09:28:45,bigadder_n18,10,18,16,34,16,66,201.02,26.4,0.0085,0.143,0.1516
