FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260114,09:20:02,dnn_n16,1,16,1632,384,2016,216.38,47.7,0.0825,3.1445,3.227
cirq,20260114,09:20:02,dnn_n16,2,16,1632,384,2016,216.42,47.9,0.0747,3.1635,3.2382
cirq,20260114,09:20:02,dnn_n16,3,16,1632,384,2016,216.42,47.8,0.0881,3.1958,3.2839
cirq,20260114,09:20:02,dnn_n16,4,16,1632,384,2016,215.67,50.1,0.0835,3.0291,3.1127
cirq,20260114,09:20:02,dnn_n16,5,16,1632,384,2016,216.19,53.6,0.0679,2.8429,2.9108
cirq,20260114,09:20:02,dnn_n16,6,16,1632,384,2016,216.18,45.7,0.0834,3.3275,3.4109
cirq,20260114,09:20:02,dnn_n16,7,16,1632,384,2016,216.04,48.8,0.0937,3.1014,3.1951
cirq,20260114,09:20:02,dnn_n16,8,16,1632,384,2016,215.66,47.1,0.1637,3.1262,3.29
cirq,20260114,09:20:02,dnn_n16,9,16,1632,384,2016,215.83,47.5,0.0837,3.1824,3.2661
cirq,20260114,09:20:02,dnn_n16,10,16,1632,384,2016,216.05,43.9,0.0676,3.4829,3.5504
