FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260206,09:30:45,dnn_n16,1,16,1632,384,0,2016,216.43,38.7,0.058,3.942,4.0
cirq,20260206,09:30:45,dnn_n16,2,16,1632,384,0,2016,216.54,40.1,0.1352,3.7528,3.8879
cirq,20260206,09:30:45,dnn_n16,3,16,1632,384,0,2016,216.3,41.4,0.1127,3.6291,3.7417
cirq,20260206,09:30:45,dnn_n16,4,16,1632,384,0,2016,216.42,35.6,0.1488,4.1979,4.3466
cirq,20260206,09:30:45,dnn_n16,5,16,1632,384,0,2016,215.79,39.7,0.1189,3.8326,3.9515
cirq,20260206,09:30:45,dnn_n16,6,16,1632,384,0,2016,216.17,39.2,0.149,3.8563,4.0052
cirq,20260206,09:30:45,dnn_n16,7,16,1632,384,0,2016,216.29,39.6,0.1038,3.888,3.9918
cirq,20260206,09:30:45,dnn_n16,8,16,1632,384,0,2016,215.92,40.3,0.1737,3.7699,3.9436
cirq,20260206,09:30:45,dnn_n16,9,16,1632,384,0,2016,216.29,40.0,0.1068,3.7446,3.8513
cirq,20260206,09:30:45,dnn_n16,10,16,1632,384,0,2016,216.05,53.1,0.0797,2.7843,2.864
