FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260219,15:44:26,qec9xz_n17,1,17,21,32,0,53,200.21,49.5,0.0042,0.0968,0.101
cirq,20260219,15:44:26,qec9xz_n17,2,17,21,32,0,53,200.07,49.0,0.0062,0.0958,0.102
cirq,20260219,15:44:26,qec9xz_n17,3,17,21,32,0,53,200.15,25.7,0.0082,0.1473,0.1555
cirq,20260219,15:44:26,qec9xz_n17,4,17,21,32,0,53,200.45,47.1,0.0053,0.1007,0.106
cirq,20260219,15:44:26,qec9xz_n17,5,17,21,32,0,53,200.12,40.1,0.0063,0.0933,0.0996
cirq,20260219,15:44:26,qec9xz_n17,6,17,21,32,0,53,200.54,47.2,0.0066,0.0992,0.1058
cirq,20260219,15:44:26,qec9xz_n17,7,17,21,32,0,53,200.98,39.4,0.0062,0.0954,0.1016
cirq,20260219,15:44:26,qec9xz_n17,8,17,21,32,0,53,200.46,31.1,0.0084,0.12,0.1284
cirq,20260219,15:44:26,qec9xz_n17,9,17,21,32,0,53,200.32,40.6,0.0053,0.093,0.0984
cirq,20260219,15:44:26,qec9xz_n17,10,17,21,32,0,53,200.5,50.3,0.0042,0.0753,0.0794
