FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20251227,12:42:07,qft_n4,1,4,6,6,12,199.73,59.9,0.0035,0.0265,0.0532
cirq,20251227,12:42:07,qft_n4,2,4,6,6,12,200.5,42.3,0.0054,0.0408,0.072
cirq,20251227,12:42:07,qft_n4,3,4,6,6,12,200.17,32.2,0.0014,0.0405,0.0631
cirq,20251227,12:42:07,qft_n4,4,4,6,6,12,199.69,32.7,0.0086,0.0546,0.0968
cirq,20251227,12:42:07,qft_n4,5,4,6,6,12,200.27,51.9,0.003,0.0353,0.0609
cirq,20251227,12:42:07,qft_n4,6,4,6,6,12,199.99,82.8,0.0013,0.0129,0.0252
cirq,20251227,12:42:07,qft_n4,7,4,6,6,12,200.04,54.3,0.0034,0.0279,0.0585
cirq,20251227,12:42:07,qft_n4,8,4,6,6,12,199.85,55.5,0.0034,0.0291,0.0562
cirq,20251227,12:42:07,qft_n4,9,4,6,6,12,200.23,85.6,0.0013,0.0125,0.0244
cirq,20251227,12:42:07,qft_n4,10,4,6,6,12,199.99,76.2,0.0039,0.0283,0.0555
