FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260401,08:30:42,qft_n4,1,4,6,6,0,12,198.74,55.0,0.0034,0.0329,0.0363
cirq,20260401,08:30:42,qft_n4,2,4,6,6,0,12,198.87,36.0,0.0052,0.0225,0.0277
cirq,20260401,08:30:42,qft_n4,3,4,6,6,0,12,199.15,28.2,0.0013,0.0341,0.0354
cirq,20260401,08:30:42,qft_n4,4,4,6,6,0,12,198.86,41.5,0.0025,0.0215,0.024
cirq,20260401,08:30:42,qft_n4,5,4,6,6,0,12,199.09,23.8,0.0064,0.0355,0.0419
cirq,20260401,08:30:42,qft_n4,6,4,6,6,0,12,199.28,69.0,0.0055,0.0234,0.0289
cirq,20260401,08:30:42,qft_n4,7,4,6,6,0,12,199.2,18.8,0.0033,0.0498,0.0532
cirq,20260401,08:30:42,qft_n4,8,4,6,6,0,12,198.9,29.0,0.0064,0.028,0.0344
cirq,20260401,08:30:42,qft_n4,9,4,6,6,0,12,199.29,28.6,0.0013,0.0336,0.0349
cirq,20260401,08:30:42,qft_n4,10,4,6,6,0,12,199.08,26.1,0.0051,0.0331,0.0382
