FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260114,10:13:01,seca_n11,1,11,26,36,62,200.0,35.2,0.0094,0.0757,0.0851
cirq,20260114,10:13:01,seca_n11,2,11,26,36,62,199.88,22.0,0.0069,0.1291,0.136
cirq,20260114,10:13:01,seca_n11,3,11,26,36,62,199.55,35.5,0.0097,0.0746,0.0843
cirq,20260114,10:13:01,seca_n11,4,11,26,36,62,199.5,26.7,0.0106,0.1017,0.1123
cirq,20260114,10:13:01,seca_n11,5,11,26,36,62,199.27,48.7,0.0115,0.0705,0.082
cirq,20260114,10:13:01,seca_n11,6,11,26,36,62,199.63,39.8,0.0075,0.093,0.1005
cirq,20260114,10:13:01,seca_n11,7,11,26,36,62,200.1,31.3,0.0077,0.0882,0.0958
cirq,20260114,10:13:01,seca_n11,8,11,26,36,62,199.88,36.8,0.0092,0.0995,0.1087
cirq,20260114,10:13:01,seca_n11,9,11,26,36,62,199.86,40.1,0.0101,0.0645,0.0747
cirq,20260114,10:13:01,seca_n11,10,11,26,36,62,199.39,48.0,0.0075,0.055,0.0625
