FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260219,15:40:08,seca_n11,1,11,26,36,8,70,200.03,35.6,0.0091,0.0751,0.0843
cirq,20260219,15:40:08,seca_n11,2,11,26,36,8,70,199.68,37.6,0.0104,0.0692,0.0796
cirq,20260219,15:40:08,seca_n11,3,11,26,36,8,70,199.5,45.2,0.0075,0.0588,0.0664
cirq,20260219,15:40:08,seca_n11,4,11,26,36,8,70,199.27,49.3,0.0094,0.0717,0.0812
cirq,20260219,15:40:08,seca_n11,5,11,26,36,8,70,199.4,50.3,0.0162,0.0632,0.0794
cirq,20260219,15:40:08,seca_n11,6,11,26,36,8,70,199.29,26.8,0.012,0.0997,0.1117
cirq,20260219,15:40:08,seca_n11,7,11,26,36,8,70,200.31,37.7,0.0095,0.0699,0.0794
cirq,20260219,15:40:08,seca_n11,8,11,26,36,8,70,199.58,38.2,0.0054,0.073,0.0784
cirq,20260219,15:40:08,seca_n11,9,11,26,36,8,70,199.72,37.1,0.0094,0.0714,0.0808
cirq,20260219,15:40:08,seca_n11,10,11,26,36,8,70,199.16,42.6,0.0075,0.0628,0.0704
