FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20251227,12:41:03,toffoli_n3,1,3,24,6,30,200.2,23.3,0.0097,0.1086,0.1796
cirq,20251227,12:41:03,toffoli_n3,2,3,24,6,30,200.58,18.8,0.0069,0.0898,0.1601
cirq,20251227,12:41:03,toffoli_n3,3,3,24,6,30,200.09,35.3,0.0057,0.0589,0.0858
cirq,20251227,12:41:03,toffoli_n3,4,3,24,6,30,200.0,43.8,0.0056,0.0582,0.0942
cirq,20251227,12:41:03,toffoli_n3,5,3,24,6,30,200.24,40.6,0.0036,0.0445,0.0748
cirq,20251227,12:41:03,toffoli_n3,6,3,24,6,30,200.0,42.1,0.0056,0.0588,0.1021
cirq,20251227,12:41:03,toffoli_n3,7,3,24,6,30,200.4,39.4,0.0093,0.0446,0.077
cirq,20251227,12:41:03,toffoli_n3,8,3,24,6,30,200.65,45.4,0.0035,0.0423,0.067
cirq,20251227,12:41:03,toffoli_n3,9,3,24,6,30,200.56,44.7,0.0036,0.0439,0.0691
cirq,20251227,12:41:03,toffoli_n3,10,3,24,6,30,200.31,47.4,0.0016,0.0399,0.0662
