FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260401,08:33:45,toffoli_n3,1,3,24,6,0,30,198.8,18.1,0.0036,0.0516,0.0552
cirq,20260401,08:33:45,toffoli_n3,2,3,24,6,0,30,199.49,51.7,0.0057,0.0329,0.0386
cirq,20260401,08:33:45,toffoli_n3,3,3,24,6,0,30,199.18,13.5,0.005,0.0689,0.0739
cirq,20260401,08:33:45,toffoli_n3,4,3,24,6,0,30,199.07,84.2,0.0015,0.0103,0.0118
cirq,20260401,08:33:45,toffoli_n3,5,3,24,6,0,30,198.7,98.5,0.0014,0.0188,0.0202
cirq,20260401,08:33:45,toffoli_n3,6,3,24,6,0,30,198.84,25.5,0.0144,0.0638,0.0782
cirq,20260401,08:33:45,toffoli_n3,7,3,24,6,0,30,198.58,52.5,0.0014,0.0366,0.038
cirq,20260401,08:33:45,toffoli_n3,8,3,24,6,0,30,198.83,69.3,0.0036,0.0251,0.0288
cirq,20260401,08:33:45,toffoli_n3,9,3,24,6,0,30,198.94,30.1,0.0056,0.0275,0.0331
cirq,20260401,08:33:45,toffoli_n3,10,3,24,6,0,30,199.36,17.0,0.0087,0.0502,0.0589
