FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20251227,12:39:07,adder_n4,1,4,25,10,35,77.72,35.7,0.0002,5.0463,5.0466
myqlm,20251227,12:39:07,adder_n4,2,4,25,10,35,77.3,37.3,0.0003,4.7791,4.7794
myqlm,20251227,12:39:07,adder_n4,3,4,25,10,35,77.64,38.7,0.0002,4.7526,4.7529
myqlm,20251227,12:39:07,adder_n4,4,4,25,10,35,77.7,34.9,0.0003,5.302,5.3023
myqlm,20251227,12:39:07,adder_n4,5,4,25,10,35,77.6,37.4,0.0002,4.8073,4.8076
myqlm,20251227,12:39:07,adder_n4,6,4,25,10,35,77.84,38.3,0.0003,4.8075,4.8078
myqlm,20251227,12:39:07,adder_n4,7,4,25,10,35,77.94,41.3,0.0041,4.3593,4.3634
myqlm,20251227,12:39:07,adder_n4,8,4,25,10,35,77.85,35.8,0.0003,5.1327,5.133
myqlm,20251227,12:39:07,adder_n4,9,4,25,10,35,77.93,37.3,0.0023,4.9342,4.9366
myqlm,20251227,12:39:07,adder_n4,10,4,25,10,35,77.95,34.8,0.0002,5.2551,5.2553
