FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20260219,15:27:10,adder_n4,1,4,25,10,0,35,77.52,38.5,0.0002,4.7023,4.7026
myqlm,20260219,15:27:10,adder_n4,2,4,25,10,0,35,77.62,36.3,0.0003,4.9011,4.9014
myqlm,20260219,15:27:10,adder_n4,3,4,25,10,0,35,77.86,37.5,0.0003,4.8312,4.8315
myqlm,20260219,15:27:10,adder_n4,4,4,25,10,0,35,77.61,40.0,0.0023,4.3516,4.354
myqlm,20260219,15:27:10,adder_n4,5,4,25,10,0,35,77.36,37.6,0.0023,4.7618,4.7642
myqlm,20260219,15:27:10,adder_n4,6,4,25,10,0,35,77.68,38.7,0.0002,4.6282,4.6285
myqlm,20260219,15:27:10,adder_n4,7,4,25,10,0,35,77.81,34.9,0.0003,5.124,5.1242
myqlm,20260219,15:27:10,adder_n4,8,4,25,10,0,35,77.43,34.0,0.0002,5.287,5.2872
myqlm,20260219,15:27:10,adder_n4,9,4,25,10,0,35,77.39,37.5,0.0003,4.7718,4.7721
myqlm,20260219,15:27:10,adder_n4,10,4,25,10,0,35,77.79,36.4,0.0002,4.946,4.9463
