FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20251227,17:01:51,bell_n4,1,4,37,7,44,163.26,43.6,0.0028,1.9461,1.9489
myqlm,20251227,17:01:51,bell_n4,2,4,37,7,44,163.43,41.0,0.0007,2.2664,2.2672
myqlm,20251227,17:01:51,bell_n4,3,4,37,7,44,163.59,39.0,0.0018,2.3288,2.3306
myqlm,20251227,17:01:51,bell_n4,4,4,37,7,44,163.86,41.6,0.0006,2.2587,2.2593
myqlm,20251227,17:01:51,bell_n4,5,4,37,7,44,163.93,37.8,0.0007,2.3305,2.3312
myqlm,20251227,17:01:51,bell_n4,6,4,37,7,44,163.4,44.2,0.0008,2.0795,2.0803
myqlm,20251227,17:01:51,bell_n4,7,4,37,7,44,163.64,38.7,0.0007,2.3277,2.3284
myqlm,20251227,17:01:51,bell_n4,8,4,37,7,44,164.18,36.1,0.0007,2.3512,2.3519
myqlm,20251227,17:01:51,bell_n4,9,4,37,7,44,163.56,39.5,0.0007,2.1246,2.1252
myqlm,20251227,17:01:51,bell_n4,10,4,37,7,44,163.46,36.6,0.0033,2.3447,2.3481
