FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20260401,09:33:11,bell_n4,1,4,37,7,0,44,163.25,35.4,0.0006,2.4036,2.4043
myqlm,20260401,09:33:11,bell_n4,2,4,37,7,0,44,163.78,32.9,0.0007,2.5805,2.5812
myqlm,20260401,09:33:11,bell_n4,3,4,37,7,0,44,164.0,40.6,0.0007,2.3415,2.3422
myqlm,20260401,09:33:11,bell_n4,4,4,37,7,0,44,163.02,38.2,0.0007,2.3021,2.3028
myqlm,20260401,09:33:11,bell_n4,5,4,37,7,0,44,163.37,34.0,0.0047,2.5553,2.56
myqlm,20260401,09:33:11,bell_n4,6,4,37,7,0,44,163.45,38.0,0.0023,2.1812,2.1835
myqlm,20260401,09:33:11,bell_n4,7,4,37,7,0,44,163.52,40.6,0.0007,2.0948,2.0955
myqlm,20260401,09:33:11,bell_n4,8,4,37,7,0,44,163.11,34.2,0.0007,2.4814,2.4821
myqlm,20260401,09:33:11,bell_n4,9,4,37,7,0,44,162.96,37.1,0.0027,2.4511,2.4538
myqlm,20260401,09:33:11,bell_n4,10,4,37,7,0,44,163.61,35.2,0.0007,2.5026,2.5033
