FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20260130,14:48:33,bigadder_n18,1,18,16,34,50,171.72,99.0,0.0004,548.4684,548.473
myqlm,20260130,14:48:33,bigadder_n18,2,18,16,34,50,171.38,190.1,0.0003,258.8122,258.8125
myqlm,20260130,14:48:33,bigadder_n18,3,18,16,34,50,171.02,190.2,0.0003,258.3299,258.3302
myqlm,20260130,14:48:33,bigadder_n18,4,18,16,34,50,171.99,190.6,0.0003,257.594,257.5943
myqlm,20260130,14:48:33,bigadder_n18,5,18,16,34,50,171.57,190.0,0.0003,258.3849,258.3852
myqlm,20260130,14:48:33,bigadder_n18,6,18,16,34,50,171.48,189.5,0.0003,259.4388,259.4391
myqlm,20260130,14:48:33,bigadder_n18,7,18,16,34,50,171.28,190.0,0.0003,258.6701,258.6704
myqlm,20260130,14:48:33,bigadder_n18,8,18,16,34,50,171.42,190.0,0.0003,258.5319,258.5323
myqlm,20260130,14:48:33,bigadder_n18,9,18,16,34,50,171.86,189.9,0.0003,258.5924,258.5927
myqlm,20260130,14:48:33,bigadder_n18,10,18,16,34,50,170.94,190.1,0.0003,258.432,258.4323
