FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20260206,10:15:37,bigadder_n18,1,18,16,34,16,66,171.56,97.9,0.0004,562.4209,562.4224
myqlm,20260206,10:15:37,bigadder_n18,2,18,16,34,16,66,171.59,189.6,0.0003,260.1401,260.1404
myqlm,20260206,10:15:37,bigadder_n18,3,18,16,34,16,66,171.44,189.7,0.0003,260.1465,260.1469
myqlm,20260206,10:15:37,bigadder_n18,4,18,16,34,16,66,171.53,189.6,0.0003,260.0529,260.0532
myqlm,20260206,10:15:37,bigadder_n18,5,18,16,34,16,66,171.15,189.5,0.0003,260.5369,260.5372
myqlm,20260206,10:15:37,bigadder_n18,6,18,16,34,16,66,171.23,189.5,0.0003,261.1384,261.1387
myqlm,20260206,10:15:37,bigadder_n18,7,18,16,34,16,66,171.32,189.7,0.0003,260.2462,260.2465
myqlm,20260206,10:15:37,bigadder_n18,8,18,16,34,16,66,171.13,189.7,0.0003,260.3883,260.3887
myqlm,20260206,10:15:37,bigadder_n18,9,18,16,34,16,66,170.9,189.6,0.0003,260.5813,260.5816
myqlm,20260206,10:15:37,bigadder_n18,10,18,16,34,16,66,171.86,189.5,0.0005,261.0036,261.0041
