FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20251227,12:38:05,circuito_prueba,1,,,,,,,,,
myqlm,20251227,12:38:05,circuito_prueba,2,,,,,,,,,
myqlm,20251227,12:38:05,circuito_prueba,3,,,,,,,,,
myqlm,20251227,12:38:05,circuito_prueba,4,,,,,,,,,
myqlm,20251227,12:38:05,circuito_prueba,5,,,,,,,,,
myqlm,20251227,12:38:05,circuito_prueba,6,,,,,,,,,
myqlm,20251227,12:38:05,circuito_prueba,7,,,,,,,,,
myqlm,20251227,12:38:05,circuito_prueba,8,,,,,,,,,
myqlm,20251227,12:38:05,circuito_prueba,9,,,,,,,,,
myqlm,20251227,12:38:05,circuito_prueba,10,,,,,,,,,
