FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20260114,09:54:21,dnn_n16,1,16,2649,384,3033,177.87,174.1,0.0295,2.7684,2.7979
myqlm,20260114,09:54:21,dnn_n16,2,16,2649,384,3033,177.37,165.7,0.0408,2.8986,2.9394
myqlm,20260114,09:54:21,dnn_n16,3,16,2649,384,3033,178.0,175.0,0.0295,2.7426,2.7722
myqlm,20260114,09:54:21,dnn_n16,4,16,2649,384,3033,177.24,175.6,0.0292,2.7272,2.7564
myqlm,20260114,09:54:21,dnn_n16,5,16,2649,384,3033,177.41,172.9,0.0302,2.8207,2.8509
myqlm,20260114,09:54:21,dnn_n16,6,16,2649,384,3033,177.99,175.9,0.0294,2.7216,2.751
myqlm,20260114,09:54:21,dnn_n16,7,16,2649,384,3033,177.5,173.6,0.0297,2.729,2.7587
myqlm,20260114,09:54:21,dnn_n16,8,16,2649,384,3033,177.55,172.6,0.0303,2.8262,2.8565
myqlm,20260114,09:54:21,dnn_n16,9,16,2649,384,3033,177.55,177.1,0.029,2.6868,2.7158
myqlm,20260114,09:54:21,dnn_n16,10,16,2649,384,3033,177.37,168.8,0.0426,2.8951,2.9378
