FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20260219,16:30:02,dnn_n16,1,16,2649,384,0,3033,177.61,164.8,0.0387,2.965,3.0037
myqlm,20260219,16:30:02,dnn_n16,2,16,2649,384,0,3033,177.35,168.9,0.0318,2.9292,2.961
myqlm,20260219,16:30:02,dnn_n16,3,16,2649,384,0,3033,177.74,175.0,0.0309,2.7411,2.7721
myqlm,20260219,16:30:02,dnn_n16,4,16,2649,384,0,3033,177.12,171.1,0.0331,2.8364,2.8696
myqlm,20260219,16:30:02,dnn_n16,5,16,2649,384,0,3033,177.37,166.9,0.0299,3.0021,3.032
myqlm,20260219,16:30:02,dnn_n16,6,16,2649,384,0,3033,177.49,171.7,0.0307,2.8517,2.8824
myqlm,20260219,16:30:02,dnn_n16,7,16,2649,384,0,3033,177.61,173.0,0.0325,2.8065,2.839
myqlm,20260219,16:30:02,dnn_n16,8,16,2649,384,0,3033,177.67,168.8,0.0312,2.9317,2.9628
myqlm,20260219,16:30:02,dnn_n16,9,16,2649,384,0,3033,177.25,171.1,0.0305,2.8744,2.905
myqlm,20260219,16:30:02,dnn_n16,10,16,2649,384,0,3033,177.49,172.0,0.0305,2.8469,2.8774
