FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20260207,16:15:46,qec9xz_n17,1,17,21,32,0,53,167.92,123.4,0.0004,202.4506,202.4747
myqlm,20260207,16:15:46,qec9xz_n17,2,17,21,32,0,53,167.62,190.0,0.0003,120.5441,120.5502
myqlm,20260207,16:15:46,qec9xz_n17,3,17,21,32,0,53,167.88,189.9,0.0003,120.8747,120.8808
myqlm,20260207,16:15:46,qec9xz_n17,4,17,21,32,0,53,167.79,190.0,0.0003,120.8943,120.9003
myqlm,20260207,16:15:46,qec9xz_n17,5,17,21,32,0,53,167.47,189.7,0.0002,121.1319,121.1378
myqlm,20260207,16:15:46,qec9xz_n17,6,17,21,32,0,53,167.39,190.2,0.0003,120.6542,120.6601
myqlm,20260207,16:15:46,qec9xz_n17,7,17,21,32,0,53,167.86,190.5,0.0003,120.197,120.2031
myqlm,20260207,16:15:46,qec9xz_n17,8,17,21,32,0,53,167.61,190.0,0.0003,120.718,120.724
myqlm,20260207,16:15:46,qec9xz_n17,9,17,21,32,0,53,167.29,190.4,0.0003,120.4076,120.4136
myqlm,20260207,16:15:46,qec9xz_n17,10,17,21,32,0,53,167.41,190.2,0.0002,120.4561,120.4621
