FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20251227,17:01:12,qft_n4,1,4,6,6,12,163.48,36.6,0.0004,2.4871,2.4875
myqlm,20251227,17:01:12,qft_n4,2,4,6,6,12,163.57,37.3,0.0004,2.4157,2.4161
myqlm,20251227,17:01:12,qft_n4,3,4,6,6,12,163.57,42.2,0.0004,2.1561,2.1565
myqlm,20251227,17:01:12,qft_n4,4,4,6,6,12,163.73,39.1,0.0055,2.3197,2.3251
myqlm,20251227,17:01:12,qft_n4,5,4,6,6,12,163.45,34.4,0.0004,2.4702,2.4706
myqlm,20251227,17:01:12,qft_n4,6,4,6,6,12,163.04,39.7,0.0004,2.1636,2.164
myqlm,20251227,17:01:12,qft_n4,7,4,6,6,12,163.6,37.7,0.0006,2.4133,2.4138
myqlm,20251227,17:01:12,qft_n4,8,4,6,6,12,163.92,32.9,0.0045,2.5467,2.5512
myqlm,20251227,17:01:12,qft_n4,9,4,6,6,12,163.12,34.9,0.0004,2.4071,2.4075
myqlm,20251227,17:01:12,qft_n4,10,4,6,6,12,163.91,38.7,0.0004,2.3786,2.379
