FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20260401,09:32:31,qft_n4,1,4,6,6,0,12,163.88,13.8,0.0004,6.4624,6.4628
myqlm,20260401,09:32:31,qft_n4,2,4,6,6,0,12,163.62,35.1,0.0014,2.565,2.5664
myqlm,20260401,09:32:31,qft_n4,3,4,6,6,0,12,163.52,38.0,0.0004,2.1818,2.1822
myqlm,20260401,09:32:31,qft_n4,4,4,6,6,0,12,163.49,43.7,0.0004,2.0815,2.0818
myqlm,20260401,09:32:31,qft_n4,5,4,6,6,0,12,163.35,34.2,0.0003,2.484,2.4843
myqlm,20260401,09:32:31,qft_n4,6,4,6,6,0,12,163.46,40.2,0.0004,2.214,2.2143
myqlm,20260401,09:32:31,qft_n4,7,4,6,6,0,12,163.56,39.6,0.0004,2.1227,2.1231
myqlm,20260401,09:32:31,qft_n4,8,4,6,6,0,12,163.49,37.5,0.0004,2.2938,2.2942
myqlm,20260401,09:32:31,qft_n4,9,4,6,6,0,12,163.57,38.9,0.0004,2.2067,2.2071
myqlm,20260401,09:32:31,qft_n4,10,4,6,6,0,12,163.75,40.7,0.0004,2.1375,2.1379
