FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20260130,12:18:53,seca_n11,1,11,92,36,128,163.64,26.7,0.0044,4.4897,4.4941
myqlm,20260130,12:18:53,seca_n11,2,11,92,36,128,164.05,41.6,0.0059,2.5637,2.5696
myqlm,20260130,12:18:53,seca_n11,3,11,92,36,128,163.89,38.8,0.0053,2.5972,2.6025
myqlm,20260130,12:18:53,seca_n11,4,11,92,36,128,163.36,38.0,0.0037,2.5763,2.58
myqlm,20260130,12:18:53,seca_n11,5,11,92,36,128,163.72,39.7,0.0015,2.8453,2.8468
myqlm,20260130,12:18:53,seca_n11,6,11,92,36,128,163.76,42.3,0.0048,2.2858,2.2906
myqlm,20260130,12:18:53,seca_n11,7,11,92,36,128,163.18,39.2,0.0037,2.6008,2.6045
myqlm,20260130,12:18:53,seca_n11,8,11,92,36,128,163.48,38.0,0.0038,2.7324,2.7362
myqlm,20260130,12:18:53,seca_n11,9,11,92,36,128,163.34,41.0,0.0056,2.1898,2.1954
myqlm,20260130,12:18:53,seca_n11,10,11,92,36,128,163.21,37.0,0.0046,2.7819,2.7865
