FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20260219,15:39:46,seca_n11,1,11,26,36,8,70,163.74,34.3,0.0016,2.9406,2.9422
myqlm,20260219,15:39:46,seca_n11,2,11,26,36,8,70,163.62,36.5,0.0038,2.7126,2.7165
myqlm,20260219,15:39:46,seca_n11,3,11,26,36,8,70,164.02,44.5,0.0087,2.1979,2.2067
myqlm,20260219,15:39:46,seca_n11,4,11,26,36,8,70,163.62,36.3,0.0097,2.7699,2.7796
myqlm,20260219,15:39:46,seca_n11,5,11,26,36,8,70,163.96,38.2,0.0076,2.8192,2.8268
myqlm,20260219,15:39:46,seca_n11,6,11,26,36,8,70,163.53,37.2,0.0057,2.7363,2.742
myqlm,20260219,15:39:46,seca_n11,7,11,26,36,8,70,163.95,37.6,0.0015,2.6078,2.6093
myqlm,20260219,15:39:46,seca_n11,8,11,26,36,8,70,163.57,34.0,0.0037,3.0281,3.0318
myqlm,20260219,15:39:46,seca_n11,9,11,26,36,8,70,163.53,36.1,0.0015,2.8551,2.8566
myqlm,20260219,15:39:46,seca_n11,10,11,26,36,8,70,163.88,42.1,0.0037,2.35,2.3537
