FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20251227,17:00:32,toffoli_n3,1,3,24,6,30,77.11,38.7,0.0002,3.8246,3.8249
myqlm,20251227,17:00:32,toffoli_n3,2,3,24,6,30,77.55,34.3,0.0022,4.2844,4.2866
myqlm,20251227,17:00:32,toffoli_n3,3,3,24,6,30,77.21,36.5,0.0002,4.0564,4.0567
myqlm,20251227,17:00:32,toffoli_n3,4,3,24,6,30,77.69,38.7,0.0012,3.8459,3.8472
myqlm,20251227,17:00:32,toffoli_n3,5,3,24,6,30,77.71,37.9,0.0002,3.9355,3.9357
myqlm,20251227,17:00:32,toffoli_n3,6,3,24,6,30,77.09,38.4,0.0002,3.832,3.8323
myqlm,20251227,17:00:32,toffoli_n3,7,3,24,6,30,77.48,40.2,0.0002,3.677,3.6773
myqlm,20251227,17:00:32,toffoli_n3,8,3,24,6,30,77.27,39.1,0.0002,3.7818,3.782
myqlm,20251227,17:00:32,toffoli_n3,9,3,24,6,30,77.45,37.9,0.0002,3.9263,3.9265
myqlm,20251227,17:00:32,toffoli_n3,10,3,24,6,30,77.14,42.8,0.0002,3.4371,3.4374
