FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
myqlm,20260205,11:59:19,toffoli_n3,1,3,24,6,0,30,77.47,35.2,0.0002,4.4379,4.4382
myqlm,20260205,11:59:19,toffoli_n3,2,3,24,6,0,30,77.24,33.8,0.0002,4.4437,4.4439
myqlm,20260205,11:59:19,toffoli_n3,3,3,24,6,0,30,77.0,37.5,0.0002,3.9729,3.9732
myqlm,20260205,11:59:19,toffoli_n3,4,3,24,6,0,30,77.25,37.6,0.0002,3.991,3.9913
myqlm,20260205,11:59:19,toffoli_n3,5,3,24,6,0,30,77.31,38.7,0.0002,3.8782,3.8785
myqlm,20260205,11:59:19,toffoli_n3,6,3,24,6,0,30,77.22,36.3,0.0002,4.1301,4.1304
myqlm,20260205,11:59:19,toffoli_n3,7,3,24,6,0,30,77.52,38.4,0.0002,3.9035,3.9037
myqlm,20260205,11:59:19,toffoli_n3,8,3,24,6,0,30,77.24,36.1,0.0043,4.1787,4.1831
myqlm,20260205,11:59:19,toffoli_n3,9,3,24,6,0,30,77.48,39.4,0.0002,3.8551,3.8553
myqlm,20260205,11:59:19,toffoli_n3,10,3,24,6,0,30,77.41,35.5,0.0002,4.2223,4.2225
