FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20251227,12:49:25,adder_n4,1,4,25,10,35,362.91,25.0,0.0318,0.168,0.335
pennylane,20251227,12:49:25,adder_n4,2,4,25,10,35,362.38,88.1,0.0088,0.0593,0.1754
pennylane,20251227,12:49:25,adder_n4,3,4,25,10,35,362.5,31.4,0.0275,0.1637,0.3603
pennylane,20251227,12:49:25,adder_n4,4,4,25,10,35,362.57,18.1,0.0435,0.1709,0.3859
pennylane,20251227,12:49:25,adder_n4,5,4,25,10,35,363.42,59.4,0.0183,0.0826,0.2601
pennylane,20251227,12:49:25,adder_n4,6,4,25,10,35,363.02,26.8,0.0182,0.168,0.2885
pennylane,20251227,12:49:25,adder_n4,7,4,25,10,35,362.89,40.2,0.0231,0.1012,0.287
pennylane,20251227,12:49:25,adder_n4,8,4,25,10,35,362.79,47.6,0.0528,0.0522,0.1948
pennylane,20251227,12:49:25,adder_n4,9,4,25,10,35,363.72,32.6,0.0294,0.1545,0.2809
pennylane,20251227,12:49:25,adder_n4,10,4,25,10,35,362.66,16.7,0.0543,0.238,0.4648
