FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20260205,11:59:19,adder_n4,1,4,25,10,0,35,361.6,24.7,0.0295,0.1728,0.2023
pennylane,20260205,11:59:19,adder_n4,2,4,25,10,0,35,361.51,41.7,0.021,0.099,0.12
pennylane,20260205,11:59:19,adder_n4,3,4,25,10,0,35,361.92,27.0,0.028,0.1569,0.1848
pennylane,20260205,11:59:19,adder_n4,4,4,25,10,0,35,361.56,32.9,0.0204,0.1294,0.1498
pennylane,20260205,11:59:19,adder_n4,5,4,25,10,0,35,360.99,46.6,0.0207,0.0865,0.1072
pennylane,20260205,11:59:19,adder_n4,6,4,25,10,0,35,361.97,58.3,0.0203,0.0654,0.0857
pennylane,20260205,11:59:19,adder_n4,7,4,25,10,0,35,362.07,41.0,0.0271,0.0947,0.1218
pennylane,20260205,11:59:19,adder_n4,8,4,25,10,0,35,362.05,41.0,0.0299,0.0921,0.122
pennylane,20260205,11:59:19,adder_n4,9,4,25,10,0,35,362.43,36.0,0.0195,0.1469,0.1664
pennylane,20260205,11:59:19,adder_n4,10,4,25,10,0,35,362.34,55.0,0.0088,0.082,0.0908
