FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20251227,16:33:45,bell_n4,1,4,26,7,33,400.14,102.7,0.0119,0.0343,0.0462
pennylane,20251227,16:33:45,bell_n4,2,4,26,7,33,398.65,127.9,0.0067,0.0235,0.0301
pennylane,20251227,16:33:45,bell_n4,3,4,26,7,33,398.59,130.0,0.0104,0.0308,0.0412
pennylane,20251227,16:33:45,bell_n4,4,4,26,7,33,399.12,122.3,0.0068,0.0245,0.0313
pennylane,20251227,16:33:45,bell_n4,5,4,26,7,33,400.05,129.3,0.0075,0.0238,0.0312
pennylane,20251227,16:33:45,bell_n4,6,4,26,7,33,399.77,132.3,0.0067,0.0236,0.0304
pennylane,20251227,16:33:45,bell_n4,7,4,26,7,33,400.17,133.8,0.0067,0.0233,0.03
pennylane,20251227,16:33:45,bell_n4,8,4,26,7,33,400.0,133.3,0.0076,0.0237,0.0312
pennylane,20251227,16:33:45,bell_n4,9,4,26,7,33,399.27,132.4,0.0067,0.0238,0.0304
pennylane,20251227,16:33:45,bell_n4,10,4,26,7,33,399.63,132.8,0.0067,0.0235,0.0302
