FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20260401,09:35:31,bell_n4,1,4,26,7,0,33,399.69,92.7,0.011,0.0367,0.0477
pennylane,20260401,09:35:31,bell_n4,2,4,26,7,0,33,399.31,133.9,0.0068,0.0241,0.0309
pennylane,20260401,09:35:31,bell_n4,3,4,26,7,0,33,399.92,128.9,0.0067,0.047,0.0536
pennylane,20260401,09:35:31,bell_n4,4,4,26,7,0,33,398.48,129.3,0.0067,0.0238,0.0305
pennylane,20260401,09:35:31,bell_n4,5,4,26,7,0,33,400.18,131.7,0.0067,0.0237,0.0304
pennylane,20260401,09:35:31,bell_n4,6,4,26,7,0,33,399.68,125.0,0.0067,0.0238,0.0305
pennylane,20260401,09:35:31,bell_n4,7,4,26,7,0,33,399.49,133.6,0.0067,0.0242,0.0309
pennylane,20260401,09:35:31,bell_n4,8,4,26,7,0,33,399.96,132.2,0.0066,0.0237,0.0304
pennylane,20260401,09:35:31,bell_n4,9,4,26,7,0,33,398.59,124.9,0.0107,0.0424,0.0531
pennylane,20260401,09:35:31,bell_n4,10,4,26,7,0,33,399.99,130.2,0.0066,0.0238,0.0305
