FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20260130,14:04:37,bigadder_n18,1,18,16,34,50,405.11,34.3,0.703,0.1671,0.8701
pennylane,20260130,14:04:37,bigadder_n18,2,18,16,34,50,404.77,33.5,0.7275,0.1985,0.926
pennylane,20260130,14:04:37,bigadder_n18,3,18,16,34,50,403.82,33.2,1.0517,0.1571,1.2088
pennylane,20260130,14:04:37,bigadder_n18,4,18,16,34,50,404.43,34.4,0.9538,0.2066,1.1604
pennylane,20260130,14:04:37,bigadder_n18,5,18,16,34,50,404.83,35.4,1.0292,0.179,1.2082
pennylane,20260130,14:04:37,bigadder_n18,6,18,16,34,50,404.84,33.1,0.7327,0.198,0.9307
pennylane,20260130,14:04:37,bigadder_n18,7,18,16,34,50,404.94,56.2,0.6696,0.1014,0.771
pennylane,20260130,14:04:37,bigadder_n18,8,18,16,34,50,404.95,54.1,0.4458,0.1029,0.5487
pennylane,20260130,14:04:37,bigadder_n18,9,18,16,34,50,404.69,51.6,0.4074,0.1066,0.5141
pennylane,20260130,14:04:37,bigadder_n18,10,18,16,34,50,405.09,58.5,0.3008,0.1266,0.4274
