FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20260206,09:31:09,bigadder_n18,1,18,16,34,16,66,401.07,34.5,0.6952,0.125,0.8202
pennylane,20260206,09:31:09,bigadder_n18,2,18,16,34,16,66,405.23,37.0,0.6753,0.1933,0.8686
pennylane,20260206,09:31:09,bigadder_n18,3,18,16,34,16,66,405.12,34.0,0.8702,0.1716,1.0418
pennylane,20260206,09:31:09,bigadder_n18,4,18,16,34,16,66,405.11,35.4,0.7356,0.1585,0.8941
pennylane,20260206,09:31:09,bigadder_n18,5,18,16,34,16,66,403.63,36.2,0.7941,0.115,0.9091
pennylane,20260206,09:31:09,bigadder_n18,6,18,16,34,16,66,404.9,35.3,0.7847,0.1483,0.933
pennylane,20260206,09:31:09,bigadder_n18,7,18,16,34,16,66,404.27,42.2,0.6291,0.1003,0.7294
pennylane,20260206,09:31:09,bigadder_n18,8,18,16,34,16,66,404.66,60.1,0.3992,0.0835,0.4827
pennylane,20260206,09:31:09,bigadder_n18,9,18,16,34,16,66,404.27,65.3,0.3627,0.092,0.4547
pennylane,20260206,09:31:09,bigadder_n18,10,18,16,34,16,66,403.65,58.3,0.4469,0.0634,0.5103
