FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20260130,12:24:31,dnn_n16,1,16,1632,384,2016,417.07,63.0,8.3555,0.0966,8.4521
pennylane,20260130,12:24:31,dnn_n16,2,16,1632,384,2016,417.21,59.3,7.3703,0.1289,7.4992
pennylane,20260130,12:24:31,dnn_n16,3,16,1632,384,2016,416.85,85.8,6.273,0.0737,6.3467
pennylane,20260130,12:24:31,dnn_n16,4,16,1632,384,2016,416.82,97.5,5.657,0.0356,5.6926
pennylane,20260130,12:24:31,dnn_n16,5,16,1632,384,2016,417.11,164.9,1.1058,0.047,1.1528
pennylane,20260130,12:24:31,dnn_n16,6,16,1632,384,2016,417.2,167.8,1.1076,0.0327,1.1403
pennylane,20260130,12:24:31,dnn_n16,7,16,1632,384,2016,418.19,169.4,1.0833,0.034,1.1173
pennylane,20260130,12:24:31,dnn_n16,8,16,1632,384,2016,417.57,165.2,1.1326,0.0327,1.1653
pennylane,20260130,12:24:31,dnn_n16,9,16,1632,384,2016,417.94,167.1,1.123,0.033,1.1561
pennylane,20260130,12:24:31,dnn_n16,10,16,1632,384,2016,416.45,155.4,1.3585,0.0323,1.3908
