FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20260219,15:46:48,dnn_n16,1,16,1632,384,0,2016,416.45,47.8,12.2804,0.1049,12.3853
pennylane,20260219,15:46:48,dnn_n16,2,16,1632,384,0,2016,417.45,62.0,8.1918,0.0967,8.2885
pennylane,20260219,15:46:48,dnn_n16,3,16,1632,384,0,2016,417.84,61.0,8.5941,0.1004,8.6945
pennylane,20260219,15:46:48,dnn_n16,4,16,1632,384,0,2016,416.95,62.4,9.1031,0.0816,9.1846
pennylane,20260219,15:46:48,dnn_n16,5,16,1632,384,0,2016,417.7,62.8,7.6539,0.0889,7.7428
pennylane,20260219,15:46:48,dnn_n16,6,16,1632,384,0,2016,417.32,61.8,7.2218,0.1153,7.3371
pennylane,20260219,15:46:48,dnn_n16,7,16,1632,384,0,2016,416.14,62.6,8.1502,0.1016,8.2518
pennylane,20260219,15:46:48,dnn_n16,8,16,1632,384,0,2016,417.07,81.1,5.541,0.0699,5.6108
pennylane,20260219,15:46:48,dnn_n16,9,16,1632,384,0,2016,416.56,96.9,4.4166,0.0455,4.4622
pennylane,20260219,15:46:48,dnn_n16,10,16,1632,384,0,2016,417.77,93.3,3.9457,0.082,4.0276
