FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20260219,15:47:40,qec9xz_n17,1,17,21,32,0,53,403.94,88.3,0.1313,0.0839,0.2151
pennylane,20260219,15:47:40,qec9xz_n17,2,17,21,32,0,53,404.32,98.3,0.1403,0.0661,0.2065
pennylane,20260219,15:47:40,qec9xz_n17,3,17,21,32,0,53,405.09,94.4,0.0843,0.0679,0.1522
pennylane,20260219,15:47:40,qec9xz_n17,4,17,21,32,0,53,403.99,100.1,0.135,0.0638,0.1987
pennylane,20260219,15:47:40,qec9xz_n17,5,17,21,32,0,53,405.12,91.1,0.1489,0.0756,0.2246
pennylane,20260219,15:47:40,qec9xz_n17,6,17,21,32,0,53,405.0,96.8,0.1298,0.0647,0.1945
pennylane,20260219,15:47:40,qec9xz_n17,7,17,21,32,0,53,403.96,94.8,0.0726,0.0981,0.1707
pennylane,20260219,15:47:40,qec9xz_n17,8,17,21,32,0,53,405.08,89.8,0.0863,0.0695,0.1558
pennylane,20260219,15:47:40,qec9xz_n17,9,17,21,32,0,53,405.58,91.0,0.101,0.0736,0.1747
pennylane,20260219,15:47:40,qec9xz_n17,10,17,21,32,0,53,404.45,88.1,0.1221,0.077,0.1991
