FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20251227,12:51:14,qft_n4,1,4,6,6,12,363.55,100.8,0.0048,0.0249,0.0572
pennylane,20251227,12:51:14,qft_n4,2,4,6,6,12,362.23,133.9,0.0046,0.0252,0.0567
pennylane,20251227,12:51:14,qft_n4,3,4,6,6,12,363.33,137.0,0.0046,0.0246,0.0589
pennylane,20251227,12:51:14,qft_n4,4,4,6,6,12,362.33,67.0,0.0046,0.0252,0.057
pennylane,20251227,12:51:14,qft_n4,5,4,6,6,12,363.07,133.7,0.0046,0.0252,0.0562
pennylane,20251227,12:51:14,qft_n4,6,4,6,6,12,363.34,122.0,0.0047,0.0281,0.0598
pennylane,20251227,12:51:14,qft_n4,7,4,6,6,12,362.78,101.7,0.0047,0.0248,0.0561
pennylane,20251227,12:51:14,qft_n4,8,4,6,6,12,363.19,100.3,0.0046,0.0252,0.0576
pennylane,20251227,12:51:14,qft_n4,9,4,6,6,12,362.95,102.6,0.0046,0.0246,0.0564
pennylane,20251227,12:51:14,qft_n4,10,4,6,6,12,363.34,133.5,0.0046,0.0253,0.0746
