FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20260401,09:34:59,qft_n4,1,4,6,6,0,12,362.25,54.4,0.0072,0.0662,0.0734
pennylane,20260401,09:34:59,qft_n4,2,4,6,6,0,12,362.95,78.1,0.0176,0.0464,0.064
pennylane,20260401,09:34:59,qft_n4,3,4,6,6,0,12,362.37,92.9,0.0071,0.0359,0.043
pennylane,20260401,09:34:59,qft_n4,4,4,6,6,0,12,362.49,90.1,0.0073,0.037,0.0443
pennylane,20260401,09:34:59,qft_n4,5,4,6,6,0,12,363.35,90.7,0.007,0.0371,0.0441
pennylane,20260401,09:34:59,qft_n4,6,4,6,6,0,12,362.95,91.1,0.0071,0.0368,0.0438
pennylane,20260401,09:34:59,qft_n4,7,4,6,6,0,12,362.93,78.3,0.008,0.0557,0.0637
pennylane,20260401,09:34:59,qft_n4,8,4,6,6,0,12,362.24,86.6,0.0072,0.039,0.0461
pennylane,20260401,09:34:59,qft_n4,9,4,6,6,0,12,362.81,68.2,0.0291,0.0441,0.0732
pennylane,20260401,09:34:59,qft_n4,10,4,6,6,0,12,362.61,92.1,0.0068,0.0365,0.0434
