FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20260130,12:41:39,seca_n11,1,11,26,36,62,403.21,35.7,0.0995,0.1472,0.2467
pennylane,20260130,12:41:39,seca_n11,2,11,26,36,62,403.04,31.7,0.0655,0.1669,0.2325
pennylane,20260130,12:41:39,seca_n11,3,11,26,36,62,402.63,32.4,0.0621,0.1592,0.2213
pennylane,20260130,12:41:39,seca_n11,4,11,26,36,62,402.92,37.2,0.072,0.116,0.188
pennylane,20260130,12:41:39,seca_n11,5,11,26,36,62,402.77,34.4,0.081,0.1269,0.2079
pennylane,20260130,12:41:39,seca_n11,6,11,26,36,62,402.38,34.0,0.0641,0.1175,0.1816
pennylane,20260130,12:41:39,seca_n11,7,11,26,36,62,402.86,39.6,0.0639,0.1172,0.181
pennylane,20260130,12:41:39,seca_n11,8,11,26,36,62,403.19,37.5,0.0347,0.0603,0.095
pennylane,20260130,12:41:39,seca_n11,9,11,26,36,62,403.23,34.8,0.0553,0.1103,0.1657
pennylane,20260130,12:41:39,seca_n11,10,11,26,36,62,402.99,37.8,0.0633,0.0977,0.161
