FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20260219,15:41:31,seca_n11,1,11,26,36,8,70,403.41,33.1,0.0721,0.1166,0.1888
pennylane,20260219,15:41:31,seca_n11,2,11,26,36,8,70,403.01,32.1,0.1117,0.1453,0.2571
pennylane,20260219,15:41:31,seca_n11,3,11,26,36,8,70,403.23,33.5,0.085,0.1481,0.2331
pennylane,20260219,15:41:31,seca_n11,4,11,26,36,8,70,401.66,36.2,0.0636,0.087,0.1506
pennylane,20260219,15:41:31,seca_n11,5,11,26,36,8,70,402.91,33.4,0.0698,0.2163,0.2861
pennylane,20260219,15:41:31,seca_n11,6,11,26,36,8,70,402.39,30.5,0.0499,0.1549,0.2048
pennylane,20260219,15:41:31,seca_n11,7,11,26,36,8,70,403.02,37.1,0.0611,0.1166,0.1777
pennylane,20260219,15:41:31,seca_n11,8,11,26,36,8,70,402.87,34.0,0.0627,0.1165,0.1792
pennylane,20260219,15:41:31,seca_n11,9,11,26,36,8,70,402.88,38.0,0.0591,0.1096,0.1687
pennylane,20260219,15:41:31,seca_n11,10,11,26,36,8,70,402.69,34.1,0.0652,0.1088,0.174
