FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20251227,12:50:45,toffoli_n3,1,3,24,6,30,363.13,46.0,0.0168,0.0918,0.1985
pennylane,20251227,12:50:45,toffoli_n3,2,3,24,6,30,362.93,28.7,0.0158,0.1235,0.2418
pennylane,20251227,12:50:45,toffoli_n3,3,3,24,6,30,362.96,41.3,0.0172,0.1038,0.284
pennylane,20251227,12:50:45,toffoli_n3,4,3,24,6,30,362.88,27.1,0.0241,0.1604,0.3065
pennylane,20251227,12:50:45,toffoli_n3,5,3,24,6,30,363.05,39.5,0.0162,0.1104,0.1898
pennylane,20251227,12:50:45,toffoli_n3,6,3,24,6,30,363.14,48.2,0.0082,0.0954,0.179
pennylane,20251227,12:50:45,toffoli_n3,7,3,24,6,30,362.82,31.8,0.0165,0.1091,0.24
pennylane,20251227,12:50:45,toffoli_n3,8,3,24,6,30,362.45,85.8,0.0079,0.0387,0.0873
pennylane,20251227,12:50:45,toffoli_n3,9,3,24,6,30,363.01,40.4,0.0176,0.131,0.2752
pennylane,20251227,12:50:45,toffoli_n3,10,3,24,6,30,362.72,90.0,0.0169,0.0386,0.0972
