FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
pennylane,20260219,15:29:49,toffoli_n3,1,3,24,6,0,30,362.7,23.9,0.0288,0.18,0.2089
pennylane,20260219,15:29:49,toffoli_n3,2,3,24,6,0,30,363.72,27.6,0.0184,0.1267,0.1451
pennylane,20260219,15:29:49,toffoli_n3,3,3,24,6,0,30,362.98,29.6,0.0212,0.1814,0.2026
pennylane,20260219,15:29:49,toffoli_n3,4,3,24,6,0,30,363.07,24.6,0.022,0.1815,0.2036
pennylane,20260219,15:29:49,toffoli_n3,5,3,24,6,0,30,362.81,66.5,0.012,0.0631,0.0751
pennylane,20260219,15:29:49,toffoli_n3,6,3,24,6,0,30,363.0,44.2,0.0075,0.1056,0.1131
pennylane,20260219,15:29:49,toffoli_n3,7,3,24,6,0,30,362.89,36.2,0.016,0.0943,0.1104
pennylane,20260219,15:29:49,toffoli_n3,8,3,24,6,0,30,363.29,20.1,0.0334,0.2158,0.2491
pennylane,20260219,15:29:49,toffoli_n3,9,3,24,6,0,30,363.01,44.6,0.0241,0.0879,0.1119
pennylane,20260219,15:29:49,toffoli_n3,10,3,24,6,0,30,363.2,26.8,0.0287,0.1578,0.1865
