FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20251227,16:29:46,adder_n4,1,4,13,10,23,131.02,38.3,0.0005,2.0621,2.0629
qiskit,20251227,16:29:46,adder_n4,2,4,13,10,23,131.09,34.5,0.0005,2.2861,2.2869
qiskit,20251227,16:29:46,adder_n4,3,4,13,10,23,131.85,34.0,0.0045,2.288,2.2928
qiskit,20251227,16:29:46,adder_n4,4,4,13,10,23,131.36,37.8,0.0045,2.0318,2.0366
qiskit,20251227,16:29:46,adder_n4,5,4,13,10,23,131.48,38.7,0.0045,2.0358,2.0407
qiskit,20251227,16:29:46,adder_n4,6,4,13,10,23,131.04,34.0,0.0005,2.2923,2.293
qiskit,20251227,16:29:46,adder_n4,7,4,13,10,23,131.61,39.2,0.0026,1.9879,1.9907
qiskit,20251227,16:29:46,adder_n4,8,4,13,10,23,131.48,32.6,0.0005,2.4259,2.4267
qiskit,20251227,16:29:46,adder_n4,9,4,13,10,23,131.67,34.6,0.0005,2.2263,2.227
qiskit,20251227,16:29:46,adder_n4,10,4,13,10,23,131.23,37.3,0.0005,2.1159,2.1167
