FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20260205,11:58:23,adder_n4,1,4,13,10,0,23,129.59,36.2,0.0005,2.3449,2.3454
qiskit,20260205,11:58:23,adder_n4,2,4,13,10,0,23,129.8,36.9,0.0005,2.2752,2.2757
qiskit,20260205,11:58:23,adder_n4,3,4,13,10,0,23,129.98,37.4,0.0027,2.272,2.2747
qiskit,20260205,11:58:23,adder_n4,4,4,13,10,0,23,129.67,38.5,0.0005,2.1579,2.1584
qiskit,20260205,11:58:23,adder_n4,5,4,13,10,0,23,129.99,39.2,0.0005,2.1174,2.1179
qiskit,20260205,11:58:23,adder_n4,6,4,13,10,0,23,129.6,34.6,0.0046,2.4211,2.4256
qiskit,20260205,11:58:23,adder_n4,7,4,13,10,0,23,129.67,33.7,0.0005,2.5513,2.5518
qiskit,20260205,11:58:23,adder_n4,8,4,13,10,0,23,129.68,40.6,0.0005,2.0661,2.0666
qiskit,20260205,11:58:23,adder_n4,9,4,13,10,0,23,129.77,37.4,0.0005,2.2451,2.2456
qiskit,20260205,11:58:23,adder_n4,10,4,13,10,0,23,129.79,36.2,0.0005,2.3488,2.3494
