FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20251227,17:02:22,bell_n4,1,4,26,7,33,131.28,37.0,0.0046,2.0748,2.0794
qiskit,20251227,17:02:22,bell_n4,2,4,26,7,33,131.64,37.6,0.0006,2.049,2.0496
qiskit,20251227,17:02:22,bell_n4,3,4,26,7,33,131.51,37.7,0.0016,2.0687,2.0704
qiskit,20251227,17:02:22,bell_n4,4,4,26,7,33,131.57,52.4,0.0009,1.4504,1.4512
qiskit,20251227,17:02:22,bell_n4,5,4,26,7,33,131.35,46.2,0.0006,1.6875,1.6881
qiskit,20251227,17:02:22,bell_n4,6,4,26,7,33,131.02,48.8,0.0007,1.5781,1.5788
qiskit,20251227,17:02:22,bell_n4,7,4,26,7,33,131.11,46.0,0.0006,1.6745,1.6751
qiskit,20251227,17:02:22,bell_n4,8,4,26,7,33,131.27,50.0,0.0006,1.5387,1.5393
qiskit,20251227,17:02:22,bell_n4,9,4,26,7,33,131.07,41.7,0.0006,1.8915,1.8922
qiskit,20251227,17:02:22,bell_n4,10,4,26,7,33,131.93,45.1,0.0027,1.7489,1.7516
