FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20260205,12:01:19,bell_n4,1,4,26,7,0,33,130.01,37.7,0.0006,2.1494,2.15
qiskit,20260205,12:01:19,bell_n4,2,4,26,7,0,33,130.38,35.4,0.0047,2.2546,2.2593
qiskit,20260205,12:01:19,bell_n4,3,4,26,7,0,33,129.7,39.7,0.0017,2.013,2.0146
qiskit,20260205,12:01:19,bell_n4,4,4,26,7,0,33,130.23,35.2,0.0006,2.271,2.2716
qiskit,20260205,12:01:19,bell_n4,5,4,26,7,0,33,130.31,41.9,0.0017,1.9315,1.9332
qiskit,20260205,12:01:19,bell_n4,6,4,26,7,0,33,129.99,46.7,0.0006,1.7129,1.7135
qiskit,20260205,12:01:19,bell_n4,7,4,26,7,0,33,130.18,46.7,0.0005,1.7123,1.7128
qiskit,20260205,12:01:19,bell_n4,8,4,26,7,0,33,129.95,42.3,0.0006,1.94,1.9406
qiskit,20260205,12:01:19,bell_n4,9,4,26,7,0,33,129.66,50.1,0.0006,1.5751,1.5757
qiskit,20260205,12:01:19,bell_n4,10,4,26,7,0,33,130.08,50.0,0.0006,1.5787,1.5793
