FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20260130,12:41:31,bigadder_n18,1,18,16,34,50,131.59,34.8,0.012,2.7503,2.7624
qiskit,20260130,12:41:31,bigadder_n18,2,18,16,34,50,131.78,35.8,0.0009,2.7344,2.7353
qiskit,20260130,12:41:31,bigadder_n18,3,18,16,34,50,131.66,38.1,0.0019,2.4628,2.4647
qiskit,20260130,12:41:31,bigadder_n18,4,18,16,34,50,132.2,39.0,0.0048,2.5565,2.5613
qiskit,20260130,12:41:31,bigadder_n18,5,18,16,34,50,131.75,34.5,0.001,2.7508,2.7518
qiskit,20260130,12:41:31,bigadder_n18,6,18,16,34,50,131.86,36.0,0.0049,2.6629,2.6679
qiskit,20260130,12:41:31,bigadder_n18,7,18,16,34,50,131.28,34.8,0.0049,2.6106,2.6155
qiskit,20260130,12:41:31,bigadder_n18,8,18,16,34,50,131.4,37.6,0.0059,2.4972,2.5032
qiskit,20260130,12:41:31,bigadder_n18,9,18,16,34,50,131.15,38.1,0.0029,2.4617,2.4646
qiskit,20260130,12:41:31,bigadder_n18,10,18,16,34,50,131.68,38.4,0.0009,2.4465,2.4474
