FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20260206,09:28:35,bigadder_n18,1,18,16,34,16,66,131.58,35.4,0.0049,2.6497,2.6547
qiskit,20260206,09:28:35,bigadder_n18,2,18,16,34,16,66,131.96,38.1,0.0009,2.4144,2.4152
qiskit,20260206,09:28:35,bigadder_n18,3,18,16,34,16,66,131.91,37.9,0.0008,2.5575,2.5583
qiskit,20260206,09:28:35,bigadder_n18,4,18,16,34,16,66,131.95,39.2,0.0009,2.4493,2.4502
qiskit,20260206,09:28:35,bigadder_n18,5,18,16,34,16,66,131.71,40.4,0.0009,2.2783,2.2792
qiskit,20260206,09:28:35,bigadder_n18,6,18,16,34,16,66,131.53,36.0,0.0053,2.6303,2.6356
qiskit,20260206,09:28:35,bigadder_n18,7,18,16,34,16,66,131.34,40.7,0.0047,2.2556,2.2603
qiskit,20260206,09:28:35,bigadder_n18,8,18,16,34,16,66,131.58,37.8,0.0008,2.4847,2.4855
qiskit,20260206,09:28:35,bigadder_n18,9,18,16,34,16,66,132.16,35.4,0.003,2.6807,2.6837
qiskit,20260206,09:28:35,bigadder_n18,10,18,16,34,16,66,131.52,37.3,0.0009,2.5426,2.5435
