FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20251227,12:46:21,circuito_prueba,1,,,,,,,,,
qiskit,20251227,12:46:21,circuito_prueba,2,,,,,,,,,
qiskit,20251227,12:46:21,circuito_prueba,3,,,,,,,,,
qiskit,20251227,12:46:21,circuito_prueba,4,,,,,,,,,
qiskit,20251227,12:46:21,circuito_prueba,5,,,,,,,,,
qiskit,20251227,12:46:21,circuito_prueba,6,,,,,,,,,
qiskit,20251227,12:46:21,circuito_prueba,7,,,,,,,,,
qiskit,20251227,12:46:21,circuito_prueba,8,,,,,,,,,
qiskit,20251227,12:46:21,circuito_prueba,9,,,,,,,,,
qiskit,20251227,12:46:21,circuito_prueba,10,,,,,,,,,
