FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20260114,10:05:17,dnn_n16,1,16,1632,384,2016,143.09,34.8,0.0359,2.6937,2.7295
qiskit,20260114,10:05:17,dnn_n16,2,16,1632,384,2016,142.84,36.9,0.0401,2.4513,2.4914
qiskit,20260114,10:05:17,dnn_n16,3,16,1632,384,2016,142.59,37.7,0.0445,2.3131,2.3577
qiskit,20260114,10:05:17,dnn_n16,4,16,1632,384,2016,142.84,36.1,0.0426,2.5342,2.5768
qiskit,20260114,10:05:17,dnn_n16,5,16,1632,384,2016,142.6,34.4,0.0423,2.7231,2.7654
qiskit,20260114,10:05:17,dnn_n16,6,16,1632,384,2016,142.59,34.1,0.0485,2.7634,2.8119
qiskit,20260114,10:05:17,dnn_n16,7,16,1632,384,2016,142.84,39.2,0.0353,2.4387,2.474
qiskit,20260114,10:05:17,dnn_n16,8,16,1632,384,2016,142.59,41.8,0.0369,2.1648,2.2017
qiskit,20260114,10:05:17,dnn_n16,9,16,1632,384,2016,143.07,36.5,0.0343,2.486,2.5203
qiskit,20260114,10:05:17,dnn_n16,10,16,1632,384,2016,142.59,35.4,0.0344,2.5083,2.5427
