FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20260206,09:30:35,dnn_n16,1,16,1632,384,0,2016,142.59,38.3,0.0181,2.462,2.4801
qiskit,20260206,09:30:35,dnn_n16,2,16,1632,384,0,2016,142.96,38.3,0.014,2.4415,2.4555
qiskit,20260206,09:30:35,dnn_n16,3,16,1632,384,0,2016,142.72,39.7,0.0356,2.3307,2.3663
qiskit,20260206,09:30:35,dnn_n16,4,16,1632,384,0,2016,142.59,37.6,0.0587,2.4118,2.4705
qiskit,20260206,09:30:35,dnn_n16,5,16,1632,384,0,2016,142.59,37.3,0.0332,2.512,2.5453
qiskit,20260206,09:30:35,dnn_n16,6,16,1632,384,0,2016,142.59,36.8,0.0356,2.4897,2.5253
qiskit,20260206,09:30:35,dnn_n16,7,16,1632,384,0,2016,142.59,36.3,0.0135,2.5737,2.5871
qiskit,20260206,09:30:35,dnn_n16,8,16,1632,384,0,2016,142.22,35.0,0.0376,2.6194,2.6571
qiskit,20260206,09:30:35,dnn_n16,9,16,1632,384,0,2016,142.84,37.5,0.0372,2.6002,2.6374
qiskit,20260206,09:30:35,dnn_n16,10,16,1632,384,0,2016,142.46,40.0,0.0397,2.3843,2.4239
