FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20260219,15:44:17,qec9xz_n17,1,17,21,32,0,53,129.41,36.2,0.0008,2.1236,2.1244
qiskit,20260219,15:44:17,qec9xz_n17,2,17,21,32,0,53,129.06,39.7,0.0008,1.9639,1.9647
qiskit,20260219,15:44:17,qec9xz_n17,3,17,21,32,0,53,129.86,39.2,0.0028,1.9619,1.9647
qiskit,20260219,15:44:17,qec9xz_n17,4,17,21,32,0,53,129.6,42.6,0.0028,1.8289,1.8317
qiskit,20260219,15:44:17,qec9xz_n17,5,17,21,32,0,53,129.5,37.9,0.0008,2.058,2.0589
qiskit,20260219,15:44:17,qec9xz_n17,6,17,21,32,0,53,129.94,37.8,0.0008,2.0641,2.0649
qiskit,20260219,15:44:17,qec9xz_n17,7,17,21,32,0,53,129.03,38.7,0.0008,1.9902,1.991
qiskit,20260219,15:44:17,qec9xz_n17,8,17,21,32,0,53,129.71,36.1,0.0006,2.1343,2.1349
qiskit,20260219,15:44:17,qec9xz_n17,9,17,21,32,0,53,129.36,38.1,0.0028,1.9928,1.9956
qiskit,20260219,15:44:17,qec9xz_n17,10,17,21,32,0,53,129.5,40.1,0.0008,1.9682,1.969
