FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20251227,12:49:21,qft_n4,1,4,6,6,12,131.55,43.5,0.0005,1.7917,1.7925
qiskit,20251227,12:49:21,qft_n4,2,4,6,6,12,130.91,37.2,0.0005,2.1256,2.1265
qiskit,20251227,12:49:21,qft_n4,3,4,6,6,12,130.96,38.7,0.0005,2.0668,2.0676
qiskit,20251227,12:49:21,qft_n4,4,4,6,6,12,130.92,35.7,0.0047,2.3197,2.3248
qiskit,20251227,12:49:21,qft_n4,5,4,6,6,12,131.84,36.1,0.0005,2.1884,2.1893
qiskit,20251227,12:49:21,qft_n4,6,4,6,6,12,131.21,41.3,0.0005,1.96,1.9609
qiskit,20251227,12:49:21,qft_n4,7,4,6,6,12,131.48,35.7,0.0005,2.3226,2.3234
qiskit,20251227,12:49:21,qft_n4,8,4,6,6,12,130.93,40.0,0.0004,2.0243,2.025
qiskit,20251227,12:49:21,qft_n4,9,4,6,6,12,130.93,36.8,0.0045,2.1671,2.172
qiskit,20251227,12:49:21,qft_n4,10,4,6,6,12,131.28,39.4,0.0019,1.9785,1.9808
