FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20260401,08:30:08,qft_n4,1,4,6,6,0,12,129.19,33.1,0.0005,2.5653,2.5658
qiskit,20260401,08:30:08,qft_n4,2,4,6,6,0,12,129.8,39.8,0.0005,2.0607,2.0612
qiskit,20260401,08:30:08,qft_n4,3,4,6,6,0,12,129.23,34.9,0.0025,2.3192,2.3218
qiskit,20260401,08:30:08,qft_n4,4,4,6,6,0,12,129.12,39.2,0.0005,2.0889,2.0893
qiskit,20260401,08:30:08,qft_n4,5,4,6,6,0,12,129.28,41.1,0.0005,1.9454,1.9458
qiskit,20260401,08:30:08,qft_n4,6,4,6,6,0,12,129.55,36.5,0.0005,2.2491,2.2495
qiskit,20260401,08:30:08,qft_n4,7,4,6,6,0,12,129.41,36.6,0.0025,2.1827,2.1852
qiskit,20260401,08:30:08,qft_n4,8,4,6,6,0,12,129.21,35.0,0.0005,2.3111,2.3116
qiskit,20260401,08:30:08,qft_n4,9,4,6,6,0,12,129.09,35.9,0.0005,2.2574,2.2579
qiskit,20260401,08:30:08,qft_n4,10,4,6,6,0,12,129.42,39.0,0.0004,2.1018,2.1023
