FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20260130,12:26:25,seca_n11,1,11,26,36,77,131.33,37.5,0.0033,4.2897,4.293
qiskit,20260130,12:26:25,seca_n11,2,11,26,36,77,131.1,37.9,0.0033,4.2394,4.2427
qiskit,20260130,12:26:25,seca_n11,3,11,26,36,77,131.16,37.6,0.0045,4.2992,4.3037
qiskit,20260130,12:26:25,seca_n11,4,11,26,36,77,131.84,38.7,0.0012,4.0853,4.0865
qiskit,20260130,12:26:25,seca_n11,5,11,26,36,77,131.34,37.5,0.0013,4.3228,4.324
qiskit,20260130,12:26:25,seca_n11,6,11,26,36,77,131.83,38.4,0.0047,4.1322,4.1369
qiskit,20260130,12:26:25,seca_n11,7,11,26,36,77,132.02,38.2,0.0053,4.1527,4.158
qiskit,20260130,12:26:25,seca_n11,8,11,26,36,77,131.85,39.2,0.0012,4.1343,4.1355
qiskit,20260130,12:26:25,seca_n11,9,11,26,36,77,131.9,39.4,0.0033,3.985,3.9882
qiskit,20260130,12:26:25,seca_n11,10,11,26,36,77,131.59,36.1,0.001,4.3802,4.3812
