FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20260206,09:27:35,seca_n11,1,11,26,36,8,70,130.95,18.7,0.0009,8.6608,8.6617
qiskit,20260206,09:27:35,seca_n11,2,11,26,36,8,70,131.55,49.5,0.0073,3.205,3.2124
qiskit,20260206,09:27:35,seca_n11,3,11,26,36,8,70,131.42,39.2,0.0021,4.1353,4.1375
qiskit,20260206,09:27:35,seca_n11,4,11,26,36,8,70,131.56,37.4,0.0033,4.3242,4.3275
qiskit,20260206,09:27:35,seca_n11,5,11,26,36,8,70,131.4,42.0,0.0043,3.7618,3.7661
qiskit,20260206,09:27:35,seca_n11,6,11,26,36,8,70,131.71,37.3,0.0012,4.3154,4.3166
qiskit,20260206,09:27:35,seca_n11,7,11,26,36,8,70,131.54,40.5,0.0012,4.0018,4.003
qiskit,20260206,09:27:35,seca_n11,8,11,26,36,8,70,131.48,38.7,0.0032,4.0555,4.0588
qiskit,20260206,09:27:35,seca_n11,9,11,26,36,8,70,131.77,37.4,0.0012,4.201,4.2022
qiskit,20260206,09:27:35,seca_n11,10,11,26,36,8,70,131.9,38.8,0.0013,3.9706,3.9719
