FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20251227,16:30:40,toffoli_n3,1,3,12,6,18,131.15,35.9,0.0004,2.2268,2.2276
qiskit,20251227,16:30:40,toffoli_n3,2,3,12,6,18,131.02,35.8,0.0004,2.1792,2.1799
qiskit,20251227,16:30:40,toffoli_n3,3,3,12,6,18,131.2,34.3,0.0004,2.3035,2.3042
qiskit,20251227,16:30:40,toffoli_n3,4,3,12,6,18,131.22,36.4,0.0005,2.1669,2.1676
qiskit,20251227,16:30:40,toffoli_n3,5,3,12,6,18,131.61,32.9,0.0004,2.3971,2.3978
qiskit,20251227,16:30:40,toffoli_n3,6,3,12,6,18,131.13,33.6,0.0004,2.3493,2.3499
qiskit,20251227,16:30:40,toffoli_n3,7,3,12,6,18,131.38,34.2,0.0004,2.2781,2.2788
qiskit,20251227,16:30:40,toffoli_n3,8,3,12,6,18,131.2,39.4,0.0004,2.0066,2.0073
qiskit,20251227,16:30:40,toffoli_n3,9,3,12,6,18,131.09,40.0,0.0015,1.997,1.9987
qiskit,20251227,16:30:40,toffoli_n3,10,3,12,6,18,131.31,38.9,0.0004,2.0052,2.0059
