FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20260219,15:28:02,toffoli_n3,1,3,12,6,0,18,129.7,38.1,0.0004,2.1277,2.1281
qiskit,20260219,15:28:02,toffoli_n3,2,3,12,6,0,18,129.72,42.7,0.0025,1.8701,1.8726
qiskit,20260219,15:28:02,toffoli_n3,3,3,12,6,0,18,129.13,36.6,0.0005,2.1597,2.1602
qiskit,20260219,15:28:02,toffoli_n3,4,3,12,6,0,18,129.89,38.9,0.0004,2.0834,2.0838
qiskit,20260219,15:28:02,toffoli_n3,5,3,12,6,0,18,129.23,39.5,0.0045,2.0212,2.0257
qiskit,20260219,15:28:02,toffoli_n3,6,3,12,6,0,18,129.12,37.7,0.0004,2.0944,2.0949
qiskit,20260219,15:28:02,toffoli_n3,7,3,12,6,0,18,129.82,39.3,0.0004,2.0085,2.0089
qiskit,20260219,15:28:02,toffoli_n3,8,3,12,6,0,18,129.78,35.2,0.0035,2.2709,2.2745
qiskit,20260219,15:28:02,toffoli_n3,9,3,12,6,0,18,129.8,40.2,0.0004,2.0381,2.0385
qiskit,20260219,15:28:02,toffoli_n3,10,3,12,6,0,18,129.37,38.0,0.0005,2.1859,2.1863
