FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20251227,17:00:13,adder_n4,1,4,25,10,35,255.35,37.8,0.0003,0.7141,0.7206
tket,20251227,17:00:13,adder_n4,2,4,25,10,35,255.51,39.3,0.0003,0.6865,0.692
tket,20251227,17:00:13,adder_n4,3,4,25,10,35,255.52,36.6,0.0003,0.7376,0.7516
tket,20251227,17:00:13,adder_n4,4,4,25,10,35,256.04,42.9,0.0018,0.604,0.6089
tket,20251227,17:00:13,adder_n4,5,4,25,10,35,255.49,40.5,0.0003,0.6408,0.6423
tket,20251227,17:00:13,adder_n4,6,4,25,10,35,255.73,39.5,0.0004,0.6579,0.6654
tket,20251227,17:00:13,adder_n4,7,4,25,10,35,255.24,29.6,0.0044,0.9087,0.9202
tket,20251227,17:00:13,adder_n4,8,4,25,10,35,255.82,37.4,0.0003,0.6945,0.7006
tket,20251227,17:00:13,adder_n4,9,4,25,10,35,255.68,30.9,0.0004,0.8728,0.8882
tket,20251227,17:00:13,adder_n4,10,4,25,10,35,255.23,34.9,0.001,0.7725,0.7784
