FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260205,11:58:56,adder_n4,1,4,25,10,0,35,254.3,39.2,0.0003,0.6816,0.6868
tket,20260205,11:58:56,adder_n4,2,4,25,10,0,35,254.62,43.3,0.0003,0.6238,0.6314
tket,20260205,11:58:56,adder_n4,3,4,25,10,0,35,254.69,39.0,0.0004,0.6925,0.7001
tket,20260205,11:58:56,adder_n4,4,4,25,10,0,35,254.68,36.4,0.0034,0.7381,0.7466
tket,20260205,11:58:56,adder_n4,5,4,25,10,0,35,254.1,38.3,0.0004,0.7466,0.7531
tket,20260205,11:58:56,adder_n4,6,4,25,10,0,35,254.65,36.9,0.0003,0.7038,0.7055
tket,20260205,11:58:56,adder_n4,7,4,25,10,0,35,254.45,33.4,0.0003,0.8088,0.8163
tket,20260205,11:58:56,adder_n4,8,4,25,10,0,35,254.77,33.3,0.0003,0.8413,0.8503
tket,20260205,11:58:56,adder_n4,9,4,25,10,0,35,254.38,33.7,0.0003,0.7997,0.8055
tket,20260205,11:58:56,adder_n4,10,4,25,10,0,35,254.37,37.9,0.0044,0.7078,0.7174
